-rw-r--r-- 1 root root 4.6M May 23  2016 /usr/lib/x86_64-linux-gnu/libQtXmlPatterns.so.4.8.7
-rw-r--r-- 1 root root 4.6M Apr 16  2018 /usr/share/nmap/nmap-os-db
-rwxr-xr-x 1 root root 4.5M Sep  2 18:24 /usr/bin/php7.3
-rwxr-xr-x 1 root root 4.5M Jul 22 23:32 /usr/bin/mysqlpump
-rwxr-xr-x 1 root root 4.5M Aug 26 14:23 /usr/local/bin/redis-benchmark
-rw-r--r-- 1 root root 4.5M Oct  7 18:29 /usr/lib/x86_64-linux-gnu/libpython3.6m.so.1.0
-rwxr-xr-x 2 root root 4.4M Oct  7 18:29 /usr/bin/python3.6m
-rwxr-xr-x 2 root root 4.4M Oct  7 18:29 /usr/bin/python3.6
-rwxr-xr-x 1 root root 4.4M May 29 20:07 /usr/bin/gnome-control-center
-rw-r--r-- 1 root root 4.4M Jul 23 11:43 /opt/idea-IC-192.5728.98/lib/bcprov-jdk15on-1.61.jar
-rwxr-xr-x 1 root root 4.3M Sep  2 19:01 /usr/bin/php5.6
-rwxr-xr-x 1 root root 4.3M Jul 22 23:32 /usr/bin/mysqlbinlog
-rw-r--r-- 1 root root 4.3M Mar 24  2018 /usr/lib/x86_64-linux-gnu/libgtk-x11-2.0.so.0.2400.32
-rw-r--r-- 1 root root 4.3M Aug 26  2018 /usr/lib/x86_64-linux-gnu/libQt5Quick.so.5.9.5
-rwxr-xr-x 1 root root 4.1M Jul 22 23:32 /usr/bin/mysqldump
-rwxr-xr-x 1 root root 4.1M Jul 22 23:32 /usr/bin/mysql
-rwxr-xr-x 1 root root 4.1M Jul 12 14:10 /usr/lib/snapd/snap-update-ns
-rw-r--r-- 1 root root 4.1M Sep  3  2013 /usr/lib/libbsapi.so.4.0
-rw-r--r-- 1 root root 4.1M Jul 22 23:32 /usr/lib/x86_64-linux-gnu/libmysqlclient.so.20.3.14
-rw-r--r-- 1 root root 4.1M Dec 18  2017 /usr/lib/x86_64-linux-gnu/libgtkmm-2.4.so.1.1.0
-rw------- 1 root root 4.1M Sep 12 22:30 /boot/System.map-5.0.0-29-generic
-rw------- 1 root root 4.1M Oct  1 03:53 /boot/System.map-5.0.0-31-generic
-rw------- 1 root root 4.1M Aug 21 03:02 /boot/System.map-5.0.0-27-generic
-rwxr-xr-x 1 root root 4.0M Jul 22 23:32 /usr/bin/mysqlslap
-rwxr-xr-x 1 root root 4.0M Jul 22 23:32 /usr/bin/mysqlshow
-rwxr-xr-x 1 root root 4.0M Jul 22 23:32 /usr/bin/mysql_secure_installation
-rwxr-xr-x 1 root root 4.0M Jul 22 23:32 /usr/bin/mysqlimport
-rwxr-xr-x 1 root root 4.0M Jul 22 23:32 /usr/bin/mysqlcheck
-rwxr-xr-x 1 root root 4.0M Jul 22 23:32 /usr/bin/mysqladmin
-rw-r--r-- 1 root root 4.0M Jul 23 11:44 /opt/idea-IC-192.5728.98/lib/icons.jar
-rw-r--r-- 1 root root 4.0M Aug 26  2018 /usr/lib/x86_64-linux-gnu/libQt5Qml.so.5.9.5
-rwxr-xr-x 1 root root 3.9M Jul 22 23:32 /usr/bin/myisamchk
-rwxr-xr-x 1 root root 3.9M Jul 22 23:32 /usr/bin/innochecksum
-rw-r--r-- 1 root root 3.9M Feb  5  2018 /usr/lib/x86_64-linux-gnu/libtorrent-rasterbar.so.9.0.0
-rw-r--r-- 1 root root 3.9M Aug 21 14:38 /usr/lib/x86_64-linux-gnu/libvirt.so.0.4000.0
-rwxr-xr-x 1 root root 3.8M Jul 22 23:32 /usr/bin/mysql_config_editor
-rwxr-xr-x 1 root root 3.8M Jul 22 23:32 /usr/bin/myisampack
-rwxr-xr-x 1 root root 3.8M Jul 22 23:32 /usr/bin/myisamlog
-rwxr-xr-x 1 root root 3.8M Jul 22 23:32 /usr/bin/myisam_ftdump
-rw-r--r-- 1 root root 3.8M May 23  2016 /usr/lib/x86_64-linux-gnu/libQtDeclarative.so.4.8.7
-rw-r--r-- 1 root root 3.8M Feb 27  2019 /usr/lib/charles-proxy/charles.jar
-rwxr-xr-x 1 root root 3.7M May 30 18:37 /usr/bin/virt-v2v
-rw-r--r-- 1 root root 3.7M Sep 18 03:35 /opt/google/chrome/nacl_irt_x86_64.nexe
-rwxr-xr-x 1 root root 3.6M Jul 22 23:32 /usr/bin/perror
-rw-r--r-- 1 root root 3.6M Feb 27  2019 /usr/lib/charles-proxy/bcprov-jdk15on-1.57.jar
-rwxr-xr-x 1 root root 3.5M Oct  7 23:09 /usr/bin/python2.7
-rwxr-xr-x 1 root root 3.5M Jul 22 23:32 /usr/lib/mysql/resolve_stack_dump
-rwxr-xr-x 1 root root 3.5M Jul 22 23:32 /usr/bin/resolveip
-rwxr-xr-x 1 root root 3.5M Jul 22 23:32 /usr/bin/replace
-rwxr-xr-x 1 root root 3.5M Jul 22 23:32 /usr/bin/mysql_tzinfo_to_sql
-rwxr-xr-x 1 root root 3.5M Jul 22 23:32 /usr/bin/mysql_ssl_rsa_setup
-rwxr-xr-x 1 root root 3.5M Jul 22 23:32 /usr/bin/mysql_plugin
-rwxr-xr-x 1 root root 3.5M Jul 22 23:32 /usr/bin/my_print_defaults
-rw-r--r-- 1 root root 3.5M Nov 11  2017 /usr/lib/x86_64-linux-gnu/libxerces-c-3.2.so
-rw-r--r-- 1 root root 3.5M Apr 17  2018 /usr/lib/x86_64-linux-gnu/libm-2.27.a
-rw-r--r-- 1 root root 3.5M Apr 12  2018 /usr/share/backgrounds/This_Is_Bionic_Beaver_by_Pierre_Cante.jpg
-rwxr-xr-x 1 root root 3.4M Jul 12 14:10 /usr/lib/snapd/snap-exec
-rw-r--r-- 1 root root 3.4M Oct  7 23:09 /usr/lib/x86_64-linux-gnu/libpython2.7.so.1.0
-rw-r--r-- 1 root root 3.4M Aug 27 12:12 /usr/lib/x86_64-linux-gnu/libxatracker.so.2.5.0
-rw-r--r-- 1 root root 3.4M Aug 13  2017 /usr/lib/x86_64-linux-gnu/libhdf5_serial.so.100.0.1
-rw-r--r-- 1 root root 3.4M Apr 12  2018 /usr/share/backgrounds/Raindrops_On_The_Table_by_Alex_Fazit.jpg
-rwxr-xr-x 1 root root 3.3M May 30 18:37 /usr/bin/virt-builder
-rw-r--r-- 1 root root 3.3M Oct 16  2018 /usr/lib/libGraphicsMagick-Q16.so.3.18.1
-rw-r--r-- 1 root root 3.3M Jul 23 11:44 /opt/idea-IC-192.5728.98/lib/resources.jar
-rwxr-xr-x 1 root root 3.2M May 30 18:37 /usr/bin/virt-sysprep
-rwxr-xr-x 1 root root 3.2M Jul 12 14:10 /usr/lib/snapd/snap-failure
-rw-r--r-- 1 root root 3.2M Jun 18  2017 /usr/share/proj/CHENYX06.gsb
-rw-r--r-- 1 root root 3.2M Jun 18  2017 /usr/share/proj/CHENYX06_etrs.gsb
-rw-r--r-- 1 root root 3.2M Jun 18  2017 /usr/share/proj/CHENYX06a.gsb
-rw-r--r-- 1 root root 3.1M May 23 17:36 /usr/lib/x86_64-linux-gnu/libndr-standard.so.0.0.1
-rw-r--r-- 1 root root 3.1M Dec 18  2017 /usr/lib/mysql-workbench/libmforms.so.6.3.8
-rw-r--r-- 1 root root 3.1M Aug 28 11:42 /usr/lib/x86_64-linux-gnu/librbd.so.1.12.0
-rwxr-xr-x 1 root root 3.0M May  8 13:44 /usr/bin/x86_64-linux-gnu-ld.gold
-rwxr-xr-x 1 root root 3.0M May 30 18:37 /usr/bin/virt-customize
-rw-r--r-- 1 root root 3.0M Sep 20 15:05 /usr/lib/chromium-browser/libffmpeg.so
-rw-r--r-- 1 root root 3.0M Oct 14 16:41 /var/cache/debconf/templates.dat-old
-rw-r--r-- 1 root root 3.0M Oct 14 16:41 /var/cache/debconf/templates.dat
-rw-r--r-- 1 root root 3.0M May 23  2016 /usr/lib/x86_64-linux-gnu/libQtCore.so.4.8.7
-rw-r--r-- 1 root root 3.0M Apr 17  2018 /usr/share/mythes/th_en_US_v2.idx
-rw-r--r-- 1 root root 3.0M Apr 12  2018 /usr/share/backgrounds/Halifax_Sunset_by_Vlad_Drobinin.jpg
-rwxr-xr-x 1 root root 2.9M May 30 18:37 /usr/bin/virt-resize
-rwxr-xr-x 1 root root 2.9M May 30 18:37 /usr/bin/virt-dib
-rwxr-xr-x 1 root root 2.9M Aug 17 03:50 /usr/lib/git-core/git
-rwxr-xr-x 1 root root 2.9M Aug 17 03:50 /usr/bin/git
-rwxr-xr-x 1 root root 2.9M Apr 16  2018 /usr/bin/nmap
-rw-r--r-- 1 root root 2.9M May  5  2018 /usr/share/command-not-found/commands.db
-rw-r--r-- 1 root root 2.9M Jul 12 20:24 /lib/firmware/vpu_d.bin
-rw-r--r-- 1 root root 2.9M Apr 12  2018 /usr/share/backgrounds/On_top_of_the_Rubihorn_by_Matthias_Niess.jpg
-rw-r--r-- 1 root root 2.9M Apr 10  2019 /usr/lib/x86_64-linux-gnu/libicui18n.so.64.1
-rwxr-xr-x 1 root root 2.8M May  8 13:44 /usr/bin/x86_64-linux-gnu-dwp
-rwxr-xr-x 1 root root 2.8M May 30 18:37 /usr/bin/virt-v2v-copy-to-local
-rwxr-xr-x 1 root root 2.8M May 30 18:37 /usr/bin/virt-sparsify
-rwxr-xr-x 1 root root 2.8M Aug 15 01:11 /usr/bin/docker-proxy
-rwxr-xr-x 1 root root 2.8M Aug 12 15:34 /opt/Postman/app/libffmpeg.so
-rw-r--r-- 1 root root 2.8M Oct  2 23:20 /usr/lib/x86_64-linux-gnu/libIlmImf-2_2.so.22.0.0
-rw-r--r-- 1 root root 2.8M May 31 17:55 /usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
-rw-r--r-- 1 root root 2.8M Jan 28  2018 /lib/udev/hwdb.d/20-pci-vendor-model.hwdb
-rw-r--r-- 1 root root 2.8M Apr 12  2018 /usr/share/backgrounds/Crocus_Wallpaper_by_Roy_Tanck.jpg
-rwxr-xr-x 1 root root 2.7M May 30 18:37 /usr/bin/virt-get-kernel
-rwxr-xr-x 1 root root 2.7M Jul  3 17:48 /usr/sbin/recvtty
-rw-r--r-- 1 root root 2.7M May 23  2016 /usr/lib/x86_64-linux-gnu/libQtScript.so.4.8.7
-rw-r--r-- 1 root root 2.7M Mar 23  2018 /usr/lib/x86_64-linux-gnu/libicui18n.so.60.2
-rw-r--r-- 1 root root 2.7M Jun 20 23:08 /usr/lib/x86_64-linux-gnu/libMagickCore-6.Q16.so.3.0.0
-rw-r--r-- 1 root root 2.7M Jul 26 04:36 /usr/lib/x86_64-linux-gnu/libruby-2.5.so.2.5.1
-rw-r--r-- 1 root root 2.7M Jul 23 11:43 /opt/idea-IC-192.5728.98/lib/xmlbeans-2.6.0.jar
-rw-r--r-- 1 root root 2.7M Jul 23 11:43 /opt/idea-IC-192.5728.98/lib/kotlin-reflect-1.3.31.jar
-rw-r--r-- 1 root root 2.7M Jul 23 11:43 /opt/idea-IC-192.5728.98/lib/guava-25.1-jre.jar
-rw-r--r-- 1 root root 2.7M Apr 12  2018 /usr/share/backgrounds/Wall_with_door_on_Gozo_by_Matthias_Niess.jpg
-rwxr-xr-x 1 root root 2.6M Nov  3  2018 /usr/sbin/NetworkManager
-rwxr-xr-x 1 root root 2.6M Jun  6 23:01 /usr/bin/vim.basic
-rwxr-xr-x 1 root root 2.6M Jul 26 11:29 /usr/bin/adb
-rw-r--r-- 1 root root 2.6M Oct 11  2018 /opt/sublime_text/python3.3.zip
-rw-r--r-- 1 root root 2.6M Mar 28  2018 /usr/lib/x86_64-linux-gnu/libwx_baseu-3.0.so.0.4.0
-rw-r--r-- 1 root root 2.6M Jul 23 11:43 /opt/idea-IC-192.5728.98/lib/jna-platform.jar
-rw-r--r-- 1 root root 2.6M Jul 12 18:00 /lib/firmware/iwlwifi-9260-th-b0-jf-b0-34.ucode
-rw-r--r-- 1 root root 2.6M Jul 12 18:00 /lib/firmware/iwlwifi-9000-pu-b0-jf-b0-34.ucode
-rw-r--r-- 1 root root 2.6M Jul 10 17:29 /usr/lib/x86_64-linux-gnu/libexiv2.so.14.0.0
-rw-r--r-- 1 root root 2.6M Aug  7 22:42 /usr/lib/x86_64-linux-gnu/libpoppler.so.73.0.0
-rw-r--r-- 1 root root 2.6M Apr 24  2018 /lib/firmware/iwlwifi-9260-th-b0-jf-b0-33.ucode
-rw-r--r-- 1 root root 2.6M Apr 24  2018 /lib/firmware/iwlwifi-9000-pu-b0-jf-b0-33.ucode
-rwxr-xr-x 1 root root 2.5M Jun  4 15:29 /sbin/lvm
-rw-r--r-- 1 root root 2.5M Jul 31  2018 /usr/lib/evolution/libevolution-util.so.0.0.0
-rw-r--r-- 1 root root 2.5M Jul 12 20:24 /lib/firmware/iwlwifi-9260-th-b0-jf-b0-38.ucode
-rw-r--r-- 1 root root 2.5M Jul 12 20:24 /lib/firmware/iwlwifi-9000-pu-b0-jf-b0-38.ucode
-rw-r--r-- 1 root root 2.5M Jul 12 18:12 /lib/firmware/iwlwifi-9260-th-b0-jf-b0-43.ucode
-rw-r--r-- 1 root root 2.5M Jul 12 18:12 /lib/firmware/iwlwifi-9260-th-b0-jf-b0-41.ucode
-rw-r--r-- 1 root root 2.5M Jul 12 18:12 /lib/firmware/iwlwifi-9000-pu-b0-jf-b0-43.ucode
-rw-r--r-- 1 root root 2.5M Jul 12 18:12 /lib/firmware/iwlwifi-9000-pu-b0-jf-b0-41.ucode
-rwxr-xr-x 1 root root 2.4M May 31 16:40 /usr/lib/xorg/Xorg
